action_counter_0,action_counter_1,action_counter_2,fruits_eaten,mean_reward,sum_episode_rewards,termination_reason,timesteps_survived
1,5,2,1,0.24250000000000005,1.9400000000000004,hit_wall,8
0,2,3,0,-0.20800000000000002,-1.04,hit_wall,5
2,1,0,0,-0.34,-1.02,hit_wall,3
2,5,1,1,0.24250000000000016,1.9400000000000013,hit_wall,8
0,3,2,1,0.394,1.9700000000000002,hit_wall,5
1,2,2,0,-0.20800000000000002,-1.04,hit_wall,5
2,1,2,0,-0.20800000000000002,-1.04,hit_wall,5
2,1,1,0,-0.2575,-1.03,hit_wall,4
0,2,4,1,0.3266666666666667,1.9600000000000004,hit_wall,6
2,2,0,0,-0.2575,-1.03,hit_wall,4
3,0,3,0,-0.17500000000000002,-1.05,hit_wall,6
2,6,3,0,-0.1,-1.1,hit_wall,11
3,4,2,0,-0.12000000000000001,-1.08,hit_wall,9
1,1,2,0,-0.2575,-1.03,hit_wall,4
1,2,1,1,0.4950000000000001,1.9800000000000004,hit_wall,4
1,2,4,0,-0.15142857142857144,-1.06,hit_wall,7
2,1,1,0,-0.2575,-1.03,hit_wall,4
1,1,2,1,0.4950000000000001,1.9800000000000004,hit_wall,4
2,3,1,2,0.9950000000000001,5.970000000000001,hit_wall,6
2,1,1,0,-0.2575,-1.03,hit_wall,4
5,6,5,0,-0.071875,-1.15,hit_wall,16
4,4,9,1,0.10882352941176482,1.8500000000000019,hit_wall,17
1,2,1,1,0.495,1.98,hit_wall,4
4,0,1,0,-0.20800000000000002,-1.04,hit_wall,5
1,3,1,0,-0.20800000000000002,-1.04,hit_wall,5
0,2,3,0,-0.20800000000000002,-1.04,hit_wall,5
1,1,3,0,-0.20800000000000002,-1.04,hit_wall,5
3,1,3,1,0.27857142857142875,1.950000000000001,hit_wall,7
2,3,3,1,0.24250000000000005,1.9400000000000004,hit_wall,8
5,7,2,0,-0.08071428571428571,-1.13,hit_wall,14
5,1,7,1,0.14538461538461553,1.890000000000002,hit_wall,13
3,3,1,0,-0.15142857142857144,-1.06,hit_wall,7
3,1,1,0,-0.20800000000000002,-1.04,hit_wall,5
3,1,1,0,-0.20800000000000002,-1.04,hit_wall,5
2,1,3,1,0.3266666666666668,1.9600000000000009,hit_wall,6
1,2,3,0,-0.17500000000000002,-1.05,hit_wall,6
2,2,3,0,-0.15142857142857144,-1.06,hit_wall,7
1,1,3,0,-0.20800000000000002,-1.04,hit_wall,5
1,2,1,0,-0.2575,-1.03,hit_wall,4
3,0,0,0,-0.34,-1.02,hit_wall,3
2,1,3,1,0.3266666666666668,1.9600000000000009,hit_wall,6
4,3,5,0,-0.09249999999999999,-1.1099999999999999,hit_wall,12
2,1,2,0,-0.20800000000000002,-1.04,hit_wall,5
3,1,1,1,0.39400000000000013,1.9700000000000006,hit_wall,5
4,1,0,0,-0.20800000000000002,-1.04,hit_wall,5
